Date,MedianSoldPrice_AllHomes.California,MedianMortageRate,UnemploymentRate,MedianRentalPrice_AllHomes.California
2004-01-31,326752.55,5.02,7.9,
2004-02-29,329501.5,4.94,7.8,
2004-03-31,340125.45,4.74,7.8,
2004-04-30,355329.5,5.16,7.5,
2004-05-31,367818.15,5.64,7.3,
2004-06-30,378461.35,5.66,6.7,
2004-07-31,381175,5.46,7.3,
2004-08-31,381925,5.26,7.5,
2004-09-30,383775,5.14,6.4,
2004-10-31,385900,5.12,6.5,
2004-11-30,391850,5.14,6.8,
2004-12-31,397000,5.18,6.7,
2005-01-31,399050,5.21,7.5,
2005-02-28,401650,5.15,7.4,
2005-03-31,411250,5.46,7.4,
2005-04-30,420102,5.41,7.1,
2005-05-31,429251.4,5.28,7,
2005-06-30,440250.6,5.17,6.3,
2005-07-31,447225,5.28,6.9,
2005-08-31,452275,5.4,7.1,
2005-09-30,454250,5.36,6.2,
2005-10-31,455000,5.63,6.1,
2005-11-30,457500,5.86,6,
2005-12-31,458250,5.82,6.1,
2006-01-31,454300,5.71,7.2,
2006-02-28,454700,5.86,6.7,
2006-03-31,462450,5.97,6.8,
2006-04-30,465550,6.16,6.6,
2006-05-31,468250,6.21,6.2,
2006-06-30,474250,6.31,5.7,
2006-07-31,476000,6.39,6.7,
2006-08-31,475500,6.2,6.9,
2006-09-30,469825,6.08,5.9,
2006-10-31,466675,6.05,5.6,
2006-11-30,467677,5.96,6,
2006-12-31,473328.4,5.88,5.7,
2007-01-31,471304,5.97,6.7,
2007-02-28,472652,6.02,6.5,
2007-03-31,480802.6,5.88,6.5,
2007-04-30,487403.4,5.88,6.3,
2007-05-31,492352,5.97,6.1,
2007-06-30,496250.6,6.34,5.6,
2007-07-31,498400,6.36,6.2,
2007-08-31,494418.5,6.23,6.4,
2007-09-30,473794.95,6.05,5.5,
2007-10-31,457726.95,6.04,5.3,
2007-11-30,453250.6,5.85,5.6,
2007-12-31,446750,5.75,5.6,
2008-01-31,434750,5.29,6.3,
2008-02-29,432250,5.44,6.2,
2008-03-31,431002,5.42,6.4,
2008-04-30,433251.4,5.47,6.3,
2008-05-31,431750.6,5.6,6.2,
2008-06-30,428252,5.91,5.6,
2008-07-31,425501.4,5.97,6.3,
2008-08-31,414827.6,6.03,6.5,
2008-09-30,392927.9,5.64,5.7,
2008-10-31,380751.65,5.89,5.6,
2008-11-30,369875.45,5.79,6.2,
2008-12-31,363675,5.04,6.3,
2009-01-31,344951.5,4.72,7.8,
2009-02-28,336652.55,4.77,8.3,
2009-03-31,334101.5,4.64,8.8,
2009-04-30,335000.45,4.5,8.5,
2009-05-31,342500,4.52,8.7,
2009-06-30,347751.5,4.9,8.1,
2009-07-31,350001.05,4.69,8.9,
2009-08-31,345001.95,4.61,9.1,
2009-09-30,341350,4.49,7.6,
2009-10-31,335300.45,4.39,7.6,
2009-11-30,331900.45,4.34,7.9,
2009-12-31,328800,4.39,7.8,
2010-01-31,313951.5,4.44,8.7,2450
2010-02-28,305301.05,4.37,8.5,2410
2010-03-31,310876.5,4.33,8.8,2400
2010-04-30,313875.45,4.42,8.4,2400
2010-05-31,322376.05,4.28,8.4,2400
2010-06-30,319876.95,4.18,7.4,2495
2010-07-31,322251.05,4.04,8.3,2500
2010-08-31,321000.45,3.91,8.7,2600
2010-09-30,320750,3.81,7.4,2495
2010-10-31,315000,3.66,7.2,2400
2010-11-30,313250,3.68,7.2,2300
2010-12-31,313550,4.06,7,2400
2011-01-31,302275,4.08,8.1,2060
2011-02-28,296140.8,4.21,8,2095
2011-03-31,299250,4.45,8.2,2050
2011-04-30,303500,4.6,7.9,2100
2011-05-31,303750,4.41,7.5,2100
2011-06-30,306451.05,4.55,7,2100
2011-07-31,308450,4.33,7.6,2000
2011-08-31,304150,4.06,7.9,1995
2011-09-30,298500,3.99,6.6,1910
2011-10-31,288100,4,6.7,1900
2011-11-30,282251,3.95,7,1875
2011-12-31,281400,3.81,6.9,1850
2012-01-31,278950,3.76,8,1825
2012-02-29,277400,3.78,7.7,1800
2012-03-31,288000.3,3.93,7.7,1850
2012-04-30,301950,3.78,7.5,1795
2012-05-31,310850,3.63,7.4,1750
2012-06-30,314250,3.63,6.7,1800
2012-07-31,317000,3.54,7.5,1795
2012-08-31,316400,3.55,7.8,1769
2012-09-30,315450,3.29,6.7,1795
2012-10-31,315000,3.41,6.7,1775
2012-11-30,320000,3.37,6.7,1750
2012-12-31,326000,3.32,6.7,1700
2013-01-31,319750,3.59,7.5,1740
2013-02-28,316200,3.52,7.4,1750
2013-03-31,332050,3.55,7.8,1750
2013-04-30,352250,3.33,7.4,1750
2013-05-31,370250,3.88,7.2,1750
2013-06-30,382385,4.29,6.7,1750
2013-07-31,385600,4.37,7.4,1750
2013-08-31,382550,4.47,7.6,1695
2013-09-30,380525,4.14,6.4,1800
2013-10-31,379850,4.04,6.4,1895
2013-11-30,380900,4.3,6.5,1825
2013-12-31,379600,4.47,6.7,1900
2014-01-31,369425,4.21,7.4,1900
2014-02-28,366950,4.22,7.4,1850
2014-03-31,377975,4.3,7.4,1850
2014-04-30,389700,4.21,7.3,1850
2014-05-31,399250,4.05,7.2,1999
2014-06-30,403150,4.07,6.7,2000
2014-07-31,404650,4.13,7.3,2000
2014-08-31,404850,4.06,7.5,2050
2014-09-30,402000,4.19,6.3,2100
2014-10-31,399150,4.03,6,2080
2014-11-30,398475,3.9,6.2,2095
2014-12-31,394275,3.85,6.2,2100
2015-01-31,386350,3.89,5.7,2100
2015-02-28,386500,3.91,5.5,2100
2015-03-31,395000,3.79,5.4,2100
2015-04-30,407550,3.73,5.4,2200
2015-05-31,416050,3.85,5.6,2200
2015-06-30,424400,3.87,5.3,2250
2015-07-31,428000,3.95,5.2,2295
2015-08-31,426650,3.87,5.1,2300
2015-09-30,421750,3.8,5,2300
2015-10-31,417400,3.69,5,2300
2015-11-30,420450,3.89,5.1,2300
2015-12-31,421000,3.91,5,2300
2016-01-31,,3.96,4.9,2300
2016-02-29,,3.6,5,2350
2016-03-31,,3.6,5,2400
2016-04-30,,3.59,4.8,2395
2016-05-31,,3.59,4.8,2395
2016-06-30,,3.46,4.9,2395
2016-07-31,,3.46,4.8,2400
2016-08-31,,3.42,5,2390
2016-09-30,,3.36,5,2399.5
2016-10-31,,3.47,4.8,2350
2016-11-30,,4.07,4.7,2400
2016-12-31,,4.21,4.7,2300
2017-01-31,,4.07,4.7,2400
2017-02-28,,3.93,4.7,2500
2017-03-31,,4,4.4,2500
2017-04-30,,3.91,4.4,2600
2017-05-31,,3.83,4.3,2650
2017-06-30,,3.88,4.4,2675
2017-07-31,,3.88,4.3,2695
2017-08-31,,3.74,4.3,2695
